lat,lon,surface,code_culture,value
46.2171,-0.46002,1.4,ORH,9394
46.21824,-0.46074,4.31,ORH,28920
46.21902,-0.46059,0.18,ORH,1207
46.2191,-0.46053,0.19,ORH,1274
46.22016,-0.46066,7.93,BTH,79934
46.2333,-0.46354,0.46,TRN,4025
46.23625,-0.4629,2.84,BTH,28627
46.23546,-0.46158,2.23,TRN,19512
46.24067,-0.46248,1.24,MLG,3968
46.23823,-0.46166,14.01,BTH,141220
46.23931,-0.463,7.01,TRN,61337
46.24008,-0.46202,5.68,MIS,60605
46.22687,-0.4594,3.68,BDH,37094
46.22917,-0.45868,1.8,BDH,18144
46.21877,-0.45763,5.62,BTH,56649
46.40975,-0.50466,2.88,BTH,29030
46.22712,-0.4572,0.66,ORH,4428
46.23116,-0.45762,6.13,BTH,61790
46.2335,-0.45916,1.99,BTH,20059
46.24496,-0.46144,1.37,BTH,13809
46.24572,-0.46206,3.34,BTH,33667
46.24628,-0.45959,3.01,BTH,30340
46.24736,-0.46023,14.27,BTH,143841
46.18726,-0.4528,1.0,BTH,10080
46.41544,-0.50376,0.51,BTH,5140
46.18717,-0.45236,1.17,BTH,11793
46.19688,-0.4532,2.21,BTH,22276
46.2037,-0.45398,5.01,BTH,50500
46.21117,-0.45454,4.74,MIE,50575
46.19729,-0.45312,1.34,MCR,13292
46.1983,-0.45161,3.02,BTH,30441
46.21238,-0.45409,0.49,MIE,5228
46.21328,-0.45289,1.59,MIE,16965
46.18462,-0.45011,24.86,BTH,250588
46.18726,-0.44964,15.84,BTH,159667
46.1825,-0.4482,8.34,ORH,55961
46.1957,-0.44919,6.52,MCR,64678
46.1916,-0.44874,3.7,ORP,24827
46.19386,-0.44864,0.42,BTH,4233
46.19383,-0.44833,0.43,BTH,4334
46.2,-0.45117,0.89,MCR,8828
46.20603,-0.45119,8.9,CZH,118548
46.20759,-0.45066,3.6,BTH,36288
46.21052,-0.45169,0.68,MCR,6745
46.211,-0.45181,1.74,MIE,18565
46.21156,-0.45105,1.39,MIS,14831
46.1976,-0.44938,2.91,BTH,29332
46.20881,-0.45024,1.44,MCR,14284
46.22925,-0.45331,8.46,BTH,85276
46.20818,-0.44998,1.4,MIS,14937
46.2132,-0.45095,6.14,MIE,65513
46.20822,-0.44889,1.29,MIS,13764
46.21741,-0.45459,7.57,BTH,76305
46.22202,-0.45451,9.48,BTH,95558
46.21538,-0.45303,9.01,MIS,96136
46.22928,-0.45576,7.05,MIE,75223
46.22516,-0.45324,13.73,BTH,138398
46.23264,-0.45584,5.7,BTH,57455
46.23376,-0.45543,6.6,BTH,66527
46.24597,-0.45686,5.29,BTH,53323
46.24422,-0.45585,6.19,ORH,41534
46.21643,-0.45101,2.96,MIS,31583
46.21844,-0.45021,5.36,BDH,54028
46.22212,-0.44991,3.02,ORH,20264
46.22346,-0.45133,6.89,MIE,73516
46.24975,-0.45508,10.69,BTN,274839
46.233,-0.45155,3.38,BTH,34070
46.23967,-0.45294,10.0,ORH,67100
46.24142,-0.4517,6.92,ORH,46433
46.24436,-0.45249,6.25,CZH,83250
46.25418,-0.46509,1.34,BTH,13507
46.25421,-0.46441,2.47,BTH,24897
46.26867,-0.46474,3.57,BTH,35985
46.2549,-0.46233,2.83,TRN,24762
46.27634,-0.4656,2.09,BTH,21067
46.27864,-0.46484,4.49,TRN,39287
46.27626,-0.46454,1.71,BTH,17236
46.27347,-0.4639,9.4,MIS,100298
46.27484,-0.46366,0.43,BTH,4334
46.27566,-0.46322,2.95,BTH,29736
46.28362,-0.46471,3.38,TRN,29575
46.27976,-0.46442,0.75,TRN,6562
46.28106,-0.46421,4.81,TRN,42087
46.28503,-0.46353,5.57,MIS,59431
46.2519,-0.46053,10.9,CZH,145188
46.25561,-0.46064,1.25,BTH,12600
46.26739,-0.46198,16.22,BTH,163497
46.25788,-0.45954,6.99,BTH,70459
46.27916,-0.46121,1.83,TRN,16012
46.28048,-0.46115,1.37,BTH,13809
46.2843,-0.45813,3.72,MIS,39692
46.26448,-0.45997,6.91,MIS,73729
46.27052,-0.46133,4.25,BTH,42839
46.2753,-0.4619,1.48,BTH,14918
46.27862,-0.46204,3.54,BTH,35683
46.2793,-0.46276,0.79,TRN,6912
46.28284,-0.46356,4.9,TRN,42875
46.28701,-0.46374,8.07,BTH,81345
46.27691,-0.46086,3.27,BTH,32961
46.27249,-0.46007,3.11,SOJ,54114
46.27588,-0.4604,1.29,BTH,13003
46.27482,-0.4602,1.41,BTH,14212
46.29264,-0.46416,4.58,MIE,48868
46.29577,-0.46419,1.48,MIS,15791
46.2903,-0.46305,12.0,SOJ,208800
46.29278,-0.46198,6.51,BTH,65620
46.25632,-0.45847,2.75,TRN,24062
46.2657,-0.45788,3.14,BTH,31651
46.25576,-0.4554,16.66,BTH,167932
46.26116,-0.4564,6.23,BTN,160173
46.26664,-0.45641,10.3,BTH,103824
46.27488,-0.45846,3.26,TRN,28525
46.27622,-0.45842,2.39,BTH,24091
46.27744,-0.45897,1.66,BTH,16732
46.2789,-0.45967,0.43,TRN,3762
46.28659,-0.45968,6.59,BTH,66427
46.26972,-0.4561,1.75,BTH,17639
46.27668,-0.45717,1.64,BTH,16531
46.2823,-0.45775,3.51,BTH,35380
46.28178,-0.45581,0.96,MIS,10243
46.28696,-0.45732,5.26,BTH,53020
46.25955,-0.45405,13.1,BTH,132047
46.27171,-0.45557,0.84,SOJ,14616
46.2725,-0.45545,7.42,MIS,79171
46.27438,-0.45426,6.81,BTH,68644
46.27731,-0.4561,2.71,TRN,23712
46.27093,-0.45481,0.86,SOJ,14963
46.28108,-0.45576,3.23,BTH,32558
46.27972,-0.45601,5.35,TRN,46812
46.27568,-0.45493,4.88,TRN,42699
46.27832,-0.45397,2.3,BTH,23184
46.27204,-0.4536,0.3,BTH,3024
46.2735,-0.45281,0.4,SOJ,6959
46.27634,-0.45291,3.91,BTH,39412
46.28962,-0.45858,7.42,BTH,74793
46.29238,-0.45837,6.86,BTH,69148
46.29053,-0.45526,9.39,TRN,82162
46.34538,-0.51065,2.64,ORH,17714
46.35293,-0.50801,4.74,ORH,31805
46.35943,-0.50946,13.77,TRN,120487
46.35544,-0.50851,2.93,ORH,19660
46.36038,-0.4956,15.26,TTH,132456
46.32918,-0.50481,6.62,BTH,66729
46.3419,-0.50445,3.63,BTH,36590
46.33381,-0.50386,10.23,BTH,103118
46.34156,-0.50355,5.21,ORH,34959
46.34249,-0.50616,1.08,ORH,7246
46.35839,-0.50716,15.35,TRN,134312
46.348,-0.50535,1.8,ORH,12078
46.35211,-0.50508,2.41,TRN,21087
46.37011,-0.51245,5.65,BTH,56952
46.36842,-0.50989,14.55,MIS,155248
46.3744,-0.51072,5.01,BTH,50500
46.39316,-0.51286,3.11,TRN,27212
46.38416,-0.5124,9.29,BTH,93643
46.38642,-0.51005,9.95,MIS,106166
46.3886,-0.51047,8.24,TRN,72100
46.39204,-0.51031,6.5,BTH,65519
46.36188,-0.50732,13.22,CZH,176090
46.37188,-0.50985,2.82,SOG,27974
46.37797,-0.50903,19.94,BTH,200995
46.37229,-0.50811,13.64,ORH,91524
46.36823,-0.5066,6.72,BTH,67737
46.34856,-0.49957,9.64,BTH,97171
46.39386,-0.50973,1.8,MIS,19206
46.3949,-0.50932,1.21,CZH,16117
46.38288,-0.50917,35.02,MIS,373663
46.38984,-0.50873,6.77,CZH,90176
46.39636,-0.50881,7.15,CZH,95238
46.39332,-0.5079,1.57,CZH,20912
46.32696,-0.50183,11.87,BTH,119649
46.33812,-0.50275,13.93,TRN,121887
46.33709,-0.50087,8.0,BTH,80640
46.34461,-0.50431,3.98,ORH,26705
46.35242,-0.49802,10.73,ORH,71998
46.35396,-0.50434,16.26,BTH,163900
46.35203,-0.50357,0.48,TRN,4200
46.32796,-0.49882,19.25,BTH,194040
46.33758,-0.49825,3.87,BTH,39009
46.33037,-0.49625,11.78,BTH,118742
46.33567,-0.49876,11.14,BDH,112291
46.33382,-0.49616,9.75,ORP,65422
46.3429,-0.50072,4.75,BTH,47880
46.35739,-0.49966,12.16,CZH,161971
46.37394,-0.50557,7.64,ORP,51264
46.36388,-0.50231,20.0,TRN,175000
46.3865,-0.50588,1.98,BTH,19958
46.38996,-0.5064,12.7,TRN,111125
46.39514,-0.50742,3.03,CZH,40359
46.37953,-0.50355,17.29,BTH,174283
46.38499,-0.50422,4.22,CZH,56210
46.38918,-0.50397,7.7,BTH,77616
46.3943,-0.50437,3.44,CZH,45820
46.36831,-0.50141,4.76,ORH,31939
46.36748,-0.5005,2.31,BTH,23284
46.37388,-0.5012,12.23,CZH,162903
46.36676,-0.49938,4.79,ORH,32140
46.3784,-0.49995,1.71,ORH,11474
46.39365,-0.50321,3.16,BTH,31852
46.39288,-0.50267,3.77,BTH,38001
46.39306,-0.50052,5.04,ORH,33818
46.40021,-0.51261,1.85,MCR,18352
46.41126,-0.514,6.93,ORH,46500
46.41512,-0.51545,13.45,BTH,135576
46.42006,-0.51294,22.93,BTH,231134
46.42575,-0.5142,18.53,CZH,246819
46.4319,-0.51528,10.73,BTH,108158
46.42458,-0.51349,2.44,ORH,16372
46.43382,-0.5148,12.04,BTH,121363
46.34068,-0.493,2.7,BTH,27216
46.41368,-0.51171,8.13,ORH,54552
46.40661,-0.51082,25.69,BTH,258955
46.39997,-0.50782,8.2,BTH,82655
46.4153,-0.509,3.16,ORP,21203
46.41293,-0.50897,26.25,BTH,264599
46.43846,-0.51681,11.75,TRN,102812
46.44322,-0.51718,1.93,BTH,19454
46.44997,-0.51691,0.8,MIS,8536
46.45188,-0.51647,0.76,CZH,10123
46.44111,-0.51467,8.01,ORP,53747
46.44536,-0.51596,3.23,BTH,32558
46.45238,-0.51515,3.19,CZH,42490
46.45327,-0.5166,1.51,BTH,15220
46.45446,-0.5168,5.78,BTH,58262
46.46273,-0.5179,6.32,TRN,55300
46.46448,-0.51699,1.6,MIE,17072
46.46634,-0.51708,0.39,BTH,3931
46.45752,-0.51503,3.96,BTH,39916
46.46798,-0.51671,1.81,ORP,12145
46.46347,-0.51581,0.77,MIE,8215
46.4659,-0.51509,5.6,CZH,74592
46.4372,-0.51261,15.08,TRN,131950
46.44304,-0.51181,1.05,BTH,10584
46.44196,-0.51106,1.73,BTH,17438
46.4442,-0.51176,0.51,MIS,5441
46.45323,-0.51453,1.24,BTH,12499
46.4542,-0.51401,7.08,BTH,71366
46.45678,-0.51293,2.69,BTH,27115
46.45918,-0.51389,1.77,BTH,17841
46.46412,-0.5138,4.36,MIS,46521
46.46742,-0.51529,1.64,CZH,21844
46.40166,-0.5047,7.18,ORH,48177
46.46546,-0.51383,2.95,CZH,39294
46.45846,-0.51254,4.51,BTH,45460
46.46014,-0.51208,0.78,BTH,7862
46.46935,-0.51359,1.33,CZH,17715
46.47,-0.51294,0.41,FLA,8200
46.40219,-0.50693,3.28,BTH,33062
46.40426,-0.50601,1.49,CZH,19846
46.39716,-0.50581,8.8,ORH,59048
46.40593,-0.50477,9.89,ORH,66361
46.409,-0.50469,2.21,BTH,22276
46.42768,-0.50976,14.02,CZH,186746
46.41732,-0.50639,23.44,ORH,157282
46.42416,-0.50607,8.29,BTH,83563
46.39834,-0.50169,5.06,TRN,44274
46.40364,-0.50238,11.28,TRN,98700
46.3981,-0.50188,5.11,ORH,34288
46.41169,-0.503,4.76,BTH,47980
46.41528,-0.50288,0.82,MIS,8749
46.40885,-0.50264,12.07,BTH,121665
46.41376,-0.50268,8.84,BTH,89107
46.42152,-0.50427,17.86,BTH,180028
46.43397,-0.50343,12.31,BTH,124084
46.43973,-0.50914,17.79,BTH,179323
46.41712,-0.50069,3.47,TRN,30362
46.43322,-0.5073,26.2,BTH,264095
46.4433,-0.50745,3.23,BTH,32558
46.44447,-0.50877,0.59,BTH,5947
46.44506,-0.50848,0.31,BTH,3124
46.44556,-0.50795,2.61,BTH,26308
46.45849,-0.5111,0.51,BTH,5140
46.45968,-0.51071,0.34,MIS,3627
46.46002,-0.51036,1.27,TRN,11112
46.46093,-0.51038,0.51,MIS,5441
46.46182,-0.51044,1.4,MIE,14937
46.4676,-0.51086,2.67,SOG,26486
46.45628,-0.50976,1.48,BTH,14918
46.45798,-0.50951,1.42,BTH,14313
46.45852,-0.5092,1.64,ORH,11004
46.46264,-0.51026,3.1,BTH,31248
46.46396,-0.50936,6.06,CZH,80719
46.44231,-0.50673,2.49,BTH,25099
46.44149,-0.50634,2.36,CZH,31435
46.44366,-0.50632,0.87,MIS,9282
46.4468,-0.50669,2.58,BTH,26006
46.44183,-0.50537,3.2,MIE,34144
46.4406,-0.50473,3.36,MCR,33331
46.44488,-0.50567,3.13,CZH,41691
46.44591,-0.5058,0.88,BTH,8870
46.44821,-0.50557,3.42,BTH,34473
46.45046,-0.50557,0.65,BTH,6552
46.4446,-0.50385,2.34,BTH,23587
46.45112,-0.50491,1.71,TRN,14962
46.45232,-0.5047,1.63,CZH,21711
46.4555,-0.50752,9.8,TRN,85750
46.45774,-0.50771,2.06,BTH,20764
46.45292,-0.50686,2.84,ORH,19056
46.463,-0.50725,1.77,BTH,17841
46.46582,-0.50712,1.24,BTH,12499
