lat,lon,surface,code_culture,value
47.43066,-1.19538,1.39,MIE,14831
47.42741,-1.19329,5.08,CZH,67665
47.44419,-1.19615,13.23,BTH,133358
47.4485,-1.2018,11.93,BTH,120254
47.45928,-1.2011,15.27,BTH,153921
47.4557,-1.19993,5.09,BTH,51307
47.47848,-1.20125,5.68,MIE,60605
47.44896,-1.1987,1.57,ORH,10534
47.45104,-1.19883,6.4,ORH,42944
47.44814,-1.19683,2.72,TTH,23609
47.4599,-1.19893,11.78,MIE,125692
47.46134,-1.20029,4.2,BTH,42336
47.46172,-1.19796,3.07,ORH,20599
47.44673,-1.19638,1.58,MIE,16858
47.44992,-1.19536,12.25,CZH,163170
47.4547,-1.19622,9.62,SOG,95430
47.4653,-1.19752,6.32,BTH,63705
47.4814,-1.1981,0.88,MIE,9389
47.34298,-1.18194,0.44,VRC,3696
47.34005,-1.1807,0.42,VRC,3527
47.35493,-1.18258,0.99,MIE,10563
47.3565,-1.18351,6.27,MIE,66900
47.33764,-1.17474,0.06,VRC,504
47.34197,-1.17964,1.03,VRC,8652
47.34261,-1.1793,0.21,VRC,1763
47.34289,-1.17947,0.65,VRC,5460
47.33638,-1.17864,6.77,VRC,56867
47.33566,-1.17805,0.3,VRC,2519
47.33582,-1.17773,1.16,VRC,9743
47.33864,-1.1779,2.43,VRC,20412
47.34332,-1.17796,0.33,VRC,2772
47.3351,-1.1764,1.67,VRC,14027
47.33676,-1.17661,0.3,VRC,2519
47.33812,-1.17449,0.04,VRC,335
47.35496,-1.17882,6.99,MIE,74583
47.35772,-1.17884,5.25,MIE,56017
47.33658,-1.1764,0.17,VRC,1428
47.33646,-1.17585,0.44,VRC,3696
47.33932,-1.17597,1.15,VRC,9659
47.34056,-1.17614,0.9,VRC,7560
47.33596,-1.17515,0.55,VRC,4620
47.33834,-1.17565,1.4,VRC,11759
47.33924,-1.1751,0.47,VRC,3948
47.34116,-1.17543,0.3,VRC,2519
47.34075,-1.17489,0.78,VRC,6552
47.33724,-1.17387,0.34,VRC,2856
47.3382,-1.17383,0.81,VRC,6804
47.33938,-1.17375,0.22,VRC,1848
47.3394,-1.17353,0.12,VRC,1008
47.34015,-1.17413,0.1,VRC,840
47.34321,-1.17435,0.52,VRC,4367
47.34358,-1.17484,4.18,VRC,35111
47.34028,-1.17327,0.16,VRC,1343
47.42824,-1.19142,0.06,FLA,1200
47.42799,-1.19101,0.05,FLA,1000
47.44422,-1.19298,8.97,ORH,60188
47.43998,-1.19251,11.93,ORH,80050
47.42134,-1.18712,4.22,BTH,42537
47.4275,-1.18914,7.99,MIE,85253
47.43705,-1.18743,28.06,BTH,282844
47.44294,-1.18806,19.02,ORH,127624
47.45364,-1.19433,5.36,CZH,71395
47.45942,-1.19475,3.01,MIE,32116
47.44638,-1.1925,0.83,BTH,8366
47.46179,-1.1947,1.94,ORP,13017
47.45819,-1.19306,1.97,SOG,19542
47.46112,-1.19355,3.27,SOG,32438
47.46354,-1.19325,16.41,BTH,165412
47.44724,-1.1915,2.7,CZH,35964
47.461,-1.1923,4.18,BTH,42134
47.4506,-1.1913,17.78,CZH,236829
47.45416,-1.18927,7.06,BTH,71164
47.46172,-1.19067,3.21,BTH,32356
47.47946,-1.19141,2.2,MCR,21824
47.41224,-1.18463,3.54,TTH,30727
47.41374,-1.18382,2.57,TTH,22307
47.42563,-1.18551,3.13,MIE,33397
47.42048,-1.18414,0.45,CZH,5994
47.41853,-1.18307,6.93,CZH,92307
47.42728,-1.18468,5.77,MIE,61565
47.42885,-1.18477,4.02,CZH,53546
47.4387,-1.18422,5.53,CZH,73659
47.42138,-1.18142,13.36,CZH,177955
47.42488,-1.18243,2.47,MIE,26354
