lat,lon,surface,code_culture,value
44.4596,0.1701,0.56,BTN,14397
44.45735,0.1707,1.44,MIS,15364
44.4584,0.17212,0.43,MIS,4588
44.46596,0.16633,1.58,BTH,15926
44.46454,0.16661,3.52,MIS,37558
44.47462,0.16605,0.54,BTH,5443
44.46738,0.1694,10.02,MIS,106913
44.46914,0.16821,0.88,MIS,9389
44.47314,0.16786,1.2,MIS,12804
44.47717,0.16811,9.03,VRG,74587
44.47121,0.16871,4.1,MIS,43747
44.47205,0.16948,1.77,MIS,18885
44.47608,0.16881,3.57,MIS,38091
44.47955,0.16551,10.78,MIS,115022
44.46134,0.17031,0.48,MIS,5121
44.46496,0.17031,2.83,MIS,30196
44.46926,0.17,1.71,CZH,22777
44.47354,0.16864,1.7,MIS,18139
44.4699,0.16928,0.81,BTH,8164
44.47444,0.1695,2.03,MIS,21660
44.46992,0.17072,0.86,MIS,9176
44.46316,0.17137,0.48,MIS,5121
44.46406,0.17151,0.36,MIS,3841
44.46857,0.17132,0.24,BTH,2419
44.46964,0.1719,0.54,MIS,5761
44.47292,0.1721,0.72,MIS,7682
44.47211,0.17269,12.17,MIS,129853
44.47489,0.17123,4.76,MIS,50789
44.52434,0.16138,0.68,VRG,5616
44.52542,0.16017,0.43,TRN,3762
44.52422,0.16051,0.85,TRN,7437
44.52464,0.16216,0.93,TRN,8137
44.52966,0.16186,1.47,ORH,9863
44.52532,0.16254,0.23,TRN,2012
44.52466,0.16263,0.29,TRN,2537
44.5394,0.15634,0.79,VRC,6636
44.53997,0.15687,0.47,VRC,3948
44.54149,0.15661,1.07,VRC,8988
44.54066,0.15672,0.55,VRC,4620
44.54278,0.15675,1.93,TRN,16887
44.54659,0.1567,39.14,TRN,342474
44.5683,0.15486,4.06,MIS,43320
44.55542,0.15576,6.78,TRN,59324
44.55378,0.15571,1.05,BTH,10584
44.55698,0.15601,0.48,BTH,4838
44.55985,0.15564,6.76,ORH,45359
44.55173,0.15619,8.47,MIS,90374
44.5645,0.15597,1.17,MIS,12483
44.5687,0.15997,0.27,FLA,5400
44.55766,0.15678,2.8,TRN,24500
44.55698,0.15825,0.86,BTH,8668
44.56938,0.15701,4.84,MIS,51642
44.55632,0.1585,1.83,BTH,18446
44.55412,0.1593,4.6,BTH,46367
44.56088,0.15842,3.21,BTH,32356
44.55466,0.15988,0.87,VRC,7307
44.56358,0.15869,1.82,TRN,15924
44.56476,0.15823,4.06,BTH,40924
44.56875,0.15847,1.54,BTH,15523
44.56153,0.15965,0.72,BTH,7257
44.56709,0.15922,0.54,TRN,4725
44.55178,0.16063,8.65,BTH,87192
44.55591,0.16082,2.07,VRC,17387
44.55831,0.16037,1.0,ORP,6710
44.55446,0.16164,0.82,BTH,8265
44.56895,0.15954,0.6,FLA,12000
44.56975,0.15959,0.89,TRN,7787
44.5662,0.16029,1.04,TRN,9100
44.53338,0.16308,5.83,BTH,58766
44.52495,0.16441,0.93,VRG,7681
44.52734,0.16419,0.48,VRG,3964
44.51998,0.16504,6.21,MIS,66260
44.52544,0.165,0.38,VRG,3138
44.52658,0.1655,0.21,VRG,1734
44.52728,0.16536,0.66,VRG,5451
44.52416,0.16808,6.36,MIS,67861
44.52526,0.16661,2.28,BTH,22982
44.5241,0.16892,2.5,MIS,26675
44.53108,0.16805,4.78,BTH,48182
44.52674,0.16888,6.98,CZH,92973
44.55027,0.1626,7.37,BTH,74289
44.5439,0.16312,7.16,SOG,71027
44.56284,0.16294,5.08,BTH,51206
44.56768,0.16192,1.48,TRN,12950
44.57352,0.11793,1.34,VRC,11256
44.54551,0.16379,10.43,SOJ,181482
44.54964,0.16424,1.43,TTH,12412
44.5517,0.16527,1.78,BTH,17942
44.5593,0.16175,6.69,BTH,67435
44.5526,0.16361,0.87,BTH,8769
44.55532,0.16304,2.24,BTH,22579
44.5611,0.16265,9.42,BTH,94953
44.56883,0.16162,0.49,VRC,4116
44.56882,0.16251,5.24,CZH,69796
44.55722,0.16469,1.79,VRC,15036
44.56212,0.16426,1.2,ORP,8052
44.53772,0.16741,6.04,BTH,60883
44.56746,0.16507,0.23,TRN,2012
44.54592,0.16549,9.71,ORH,65154
44.55216,0.1659,0.78,BTH,7862
44.54766,0.16677,0.12,VRG,991
44.54126,0.16672,3.38,CZH,45021
44.54192,0.16836,2.9,SOJ,50460
44.56086,0.16484,1.51,VRC,12684
44.55686,0.16609,2.05,BTH,20664
44.55984,0.16559,0.6,TRN,5250
44.55881,0.16651,1.02,ORH,6844
44.56638,0.16509,0.74,VRC,6215
44.55956,0.167,0.22,MIS,2347
44.55678,0.16749,0.33,VRG,2725
44.55844,0.16729,2.13,BDH,21470
44.55993,0.1679,0.36,ORP,2415
44.55936,0.16812,0.06,MIS,640
44.56196,0.16676,3.77,TRN,32987
44.56173,0.16724,0.52,TRN,4550
44.56972,0.1668,13.38,TRN,117075
44.58546,0.11597,1.48,MIE,15791
44.57405,0.11811,0.5,VRC,4199
44.57848,0.11752,4.62,BTH,46569
44.57978,0.11771,2.02,BTH,20361
44.58333,0.11722,6.15,TTH,53382
44.59886,0.1152,1.02,VRC,8568
44.6053,0.11458,0.77,SOG,7638
44.58525,0.1186,2.83,TRN,24762
44.60197,0.11485,4.52,TRN,39550
44.59675,0.11559,2.9,VRC,24360
44.6021,0.11617,2.15,VRC,18060
44.60236,0.11709,0.76,VRC,6384
44.57361,0.12044,1.27,BTH,12801
44.57154,0.12079,2.51,VRN,21084
44.57218,0.12139,1.77,VRN,14868
44.57558,0.12051,0.8,BTH,8064
44.58689,0.12032,2.84,MIS,30302
44.58532,0.12132,0.33,MIS,3521
44.58822,0.11886,3.81,TRN,33337
