lat,lon,surface,code_culture,value
48.42464,-1.59436,2.38,MIE,25394
48.41092,-1.59216,3.1,MIE,33077
48.41492,-1.59278,0.84,BTH,8467
48.41306,-1.59181,2.7,MIE,28809
48.41198,-1.59198,0.56,MIE,5975
48.41152,-1.59158,0.42,MIE,4481
48.43337,-1.602,0.93,MLG,2976
48.41918,-1.59235,1.25,MLG,4000
48.41958,-1.59234,0.39,MLG,1248
48.41986,-1.59212,0.62,MLG,1984
48.42711,-1.59217,6.1,BTH,61488
48.44126,-1.60702,1.68,MIE,17925
48.44356,-1.60767,3.43,MIE,36598
48.42916,-1.60438,7.0,MLG,22400
48.43978,-1.60565,8.53,MLG,27296
48.43826,-1.6049,4.45,MIS,47481
48.42737,-1.60124,0.38,MIE,4054
48.44177,-1.60561,1.64,MIE,17498
48.44504,-1.60564,6.13,MIE,65407
48.46071,-1.60891,1.9,BTH,19152
48.4594,-1.60783,0.8,MIE,8536
48.45875,-1.60764,0.81,MIE,8642
48.4479,-1.6049,0.85,MIE,9069
48.45328,-1.60561,2.82,MIE,30089
48.45845,-1.60731,0.47,BTH,4737
48.46089,-1.60649,0.81,BTH,8164
48.4542,-1.60627,5.47,BTH,55137
48.4565,-1.60609,1.99,BTH,20059
48.46162,-1.6062,6.54,MIS,69781
48.46006,-1.6057,1.62,MIE,17285
48.43488,-1.60304,0.93,MLG,2976
48.42856,-1.60214,0.92,MIE,9816
48.428,-1.60175,0.65,MIE,6935
48.43577,-1.60196,2.64,MLG,8448
48.43698,-1.60326,1.94,MIS,20699
48.43266,-1.60148,3.32,MLG,10624
48.44028,-1.6009,3.97,MIS,42359
48.44724,-1.60407,1.05,MIE,11203
48.45058,-1.6045,3.31,MIE,35317
48.44936,-1.60208,1.07,MIE,11416
48.45182,-1.60327,6.93,CZH,92307
48.4531,-1.60343,0.92,CZH,12254
48.45918,-1.60479,0.83,BTH,8366
48.45637,-1.60426,0.8,BTH,8064
48.45852,-1.60406,0.86,BTH,8668
48.44678,-1.60176,1.36,MIE,14511
48.45998,-1.60363,0.38,BTH,3830
48.46143,-1.60289,1.47,MIS,15684
48.47226,-1.60882,2.94,MIE,31369
48.47381,-1.61044,3.29,ORH,22075
48.47566,-1.60899,4.56,BTH,45964
48.4802,-1.6096,1.16,BTH,11692
48.46826,-1.60688,17.58,MIS,187578
48.47062,-1.60727,0.8,MIE,8536
48.4815,-1.61118,0.62,BTH,6249
48.48522,-1.61055,2.5,BTH,25200
48.484,-1.60994,1.48,MIE,15791
48.49052,-1.61069,1.8,MIE,19206
48.49906,-1.61233,0.92,MIE,9816
48.49189,-1.61062,0.89,BTH,8971
48.49484,-1.61097,2.07,MIE,22086
48.49579,-1.61134,1.65,BTH,16631
48.48161,-1.60883,3.48,BTH,35078
48.488,-1.60945,1.8,MIE,19206
48.48929,-1.60993,3.69,MIE,39372
48.48568,-1.60853,2.8,BTH,28224
48.49148,-1.61013,0.67,MIS,7148
48.49702,-1.60999,0.53,MIE,5655
48.49678,-1.60937,0.46,MIS,4908
48.49642,-1.60907,1.03,MIE,10990
48.4512,-1.59622,0.73,MIE,7789
48.48088,-1.60665,1.28,MIE,13657
48.48152,-1.60624,0.78,MIE,8322
48.46776,-1.6047,3.34,MIS,35637
48.46482,-1.60314,0.06,TTH,520
48.48134,-1.60518,2.56,MIE,27315
48.48232,-1.60698,1.13,MIE,12057
48.6103,-1.62717,0.88,FLA,17600
48.48848,-1.60706,1.93,MIE,20593
48.49002,-1.60646,0.87,MIE,9282
