lat,lon,surface,code_culture,value
48.60834,-3.34448,2.82,BTH,28425
48.60702,-3.3444,3.31,MIE,35317
48.60924,-3.3447,0.3,MIE,3201
48.6226,-3.34669,0.13,MIE,1387
48.6176,-3.34627,1.14,BTH,11491
48.61837,-3.34596,0.61,MIE,6508
48.62125,-3.34643,1.33,MIE,14191
48.622,-3.34641,0.89,MIE,9496
48.61616,-3.34521,0.36,BTH,3628
48.62344,-3.34664,1.76,MIE,18779
48.62542,-3.34731,0.25,MIE,2667
48.62394,-3.34654,0.48,MIE,5121
48.6309,-3.34736,0.19,MIE,2027
48.62538,-3.34633,0.97,BTH,9777
48.60924,-3.34342,1.61,MIE,17178
48.63846,-3.34699,0.34,MIE,3627
48.63522,-3.34629,0.6,MIE,6402
48.61744,-3.34495,6.19,BTH,62395
48.6219,-3.34489,0.34,BTH,3427
48.61047,-3.34285,0.27,MIE,2880
48.60588,-3.34172,2.11,MIS,22513
48.61001,-3.34219,0.34,MIE,3627
48.61502,-3.3435,3.26,MIS,34784
48.62129,-3.34397,2.51,BTH,25300
48.61872,-3.34338,1.95,BTH,19656
48.62432,-3.34477,1.48,BTH,14918
48.62752,-3.34485,5.13,BTH,51710
48.62494,-3.34432,0.48,BTH,4838
48.63848,-3.34589,0.65,MIE,6935
48.63342,-3.34527,0.25,MIE,2667
48.63598,-3.34533,2.88,MIE,30729
48.656,-3.35438,4.63,MIS,49402
48.65092,-3.35333,2.47,MIE,26354
48.65487,-3.354,3.95,BTH,39816
48.6539,-3.35287,4.63,BTH,46670
48.6529,-3.35348,3.36,CZH,44755
48.66382,-3.35555,0.71,MIE,7575
48.66323,-3.35474,1.23,MIE,13124
48.6708,-3.35599,3.96,BTH,39916
48.66546,-3.35443,2.47,MIE,26354
48.66757,-3.35488,3.09,MIE,32970
48.6755,-3.3559,0.72,MIS,7682
48.67751,-3.35618,3.75,MIE,40012
48.67268,-3.35478,2.68,CZH,35697
48.67426,-3.35573,2.04,CZH,27172
48.65714,-3.35169,2.84,MIS,30302
48.66947,-3.35359,4.37,MLG,13984
48.66519,-3.35243,1.46,MIS,15578
48.68608,-3.35716,2.64,MIE,28168
48.69116,-3.35743,7.34,ORP,49251
48.69951,-3.35968,0.24,BTH,2419
48.70477,-3.35985,1.69,MIE,18032
48.71376,-3.36115,1.23,CZH,16383
48.70004,-3.35865,1.23,BTH,12398
48.6974,-3.35816,0.34,BTH,3427
48.69688,-3.35807,0.76,MIE,8109
48.68304,-3.35538,5.83,MIE,62206
48.68724,-3.35646,1.91,MIE,20379
48.69434,-3.35733,6.08,MIE,64873
48.68026,-3.35471,0.88,MIE,9389
48.69899,-3.35772,5.26,BTH,53020
48.712,-3.35987,5.3,BTH,53423
48.71446,-3.35938,0.49,MIE,5228
48.70115,-3.35661,2.47,BTH,24897
48.64697,-3.34959,1.94,ORH,13017
48.64815,-3.34956,1.96,ORH,13151
48.64913,-3.34993,2.41,MIE,25714
48.65168,-3.35029,3.14,MIE,33503
48.65056,-3.34813,3.13,MIE,33397
48.65194,-3.34969,1.59,MIE,16965
48.65326,-3.34959,3.0,MIE,32010
48.66227,-3.35139,3.57,MIE,38091
48.66411,-3.35119,0.75,MIE,8002
48.67294,-3.35349,3.11,CZH,41425
48.67763,-3.3536,0.56,BTH,5644
48.66744,-3.35106,2.05,BTH,20664
48.67012,-3.35147,1.63,MIE,17392
48.64674,-3.34792,0.81,MIE,8642
48.64894,-3.34827,0.53,MIE,5655
48.64892,-3.34724,2.72,ORH,18251
48.65137,-3.34774,1.23,MIE,13124
48.65576,-3.34856,2.62,MIE,27955
48.6671,-3.35026,0.55,MIE,5868
48.6683,-3.35047,0.36,MIE,3841
48.66628,-3.35031,0.92,MLG,2944
48.66292,-3.34874,3.39,BTH,34171
48.68017,-3.35247,0.88,MIE,9389
48.68117,-3.35254,1.25,MIE,13337
48.68936,-3.35415,0.51,ORH,3422
48.68827,-3.35356,1.87,BTH,18849
48.70074,-3.35594,0.91,MIE,9709
48.57256,-3.33336,0.58,ORH,3891
48.71452,-3.3573,5.61,MIE,59858
48.70948,-3.3566,6.01,ORH,40327
48.68704,-3.35349,1.59,BTH,16027
48.6952,-3.35333,6.23,ORH,41803
48.67835,-3.35027,5.33,ORH,35764
48.68876,-3.3523,0.76,BTH,7660
48.6892,-3.35228,0.35,MIE,3734
48.69063,-3.35241,0.76,MIE,8109
48.69118,-3.35314,4.52,MIE,48228
48.68978,-3.35179,1.43,MIE,15258
48.69676,-3.35368,2.74,BTH,27619
48.70046,-3.35387,0.68,BTH,6854
48.69845,-3.35351,0.59,BTH,5947
48.70405,-3.354,1.53,MIE,16325
48.70656,-3.35416,1.12,BTH,11289
48.57461,-3.33657,1.54,MIS,16431
48.58588,-3.33776,0.08,VRG,660
