lat,lon,surface,code_culture,value
45.79725,-0.43354,0.18,VRC,1512
45.79604,-0.43353,0.26,VRC,2183
45.80338,-0.43502,0.2,VRC,1680
45.80124,-0.43477,0.24,VRC,2016
45.80118,-0.43405,0.62,VRC,5207
45.80263,-0.43459,0.13,VRC,1091
45.80222,-0.43438,0.47,VRC,3948
45.80656,-0.43501,0.55,VRC,4620
45.80678,-0.43497,0.27,VRC,2268
45.80692,-0.43489,0.17,VRC,1428
45.80833,-0.43546,1.68,VRC,14111
45.80734,-0.43481,1.37,VRC,11508
45.79968,-0.43413,0.2,VRC,1680
45.80326,-0.43397,0.62,VRC,5207
45.80063,-0.43383,0.92,VRN,7728
45.802,-0.43364,0.21,VRC,1763
45.80292,-0.43379,0.22,VRC,1848
45.804,-0.43399,2.11,VRC,17724
45.80514,-0.43469,1.44,VRC,12096
45.80548,-0.4337,0.12,VRN,1008
45.80847,-0.43389,0.45,VRC,3780
45.77751,-0.43165,1.01,MLG,3232
45.77686,-0.43131,0.83,VRC,6971
45.78042,-0.43151,0.13,VRC,1091
45.77698,-0.43041,0.29,VRC,2435
45.78075,-0.4307,1.27,VRC,10668
45.78167,-0.43182,0.13,VRC,1091
45.78219,-0.43155,0.65,VRC,5460
45.78258,-0.43135,1.68,VRC,14111
45.78578,-0.43184,0.38,VRC,3192
45.78936,-0.43253,0.18,MLG,576
45.79001,-0.43108,0.32,MLG,1024
45.77622,-0.42916,1.22,VRC,10248
45.79664,-0.43287,0.1,VRC,840
45.7974,-0.43261,0.82,VRC,6888
45.77733,-0.42941,0.57,VRN,4787
45.77986,-0.4288,1.54,VRC,12936
45.77692,-0.42854,0.34,VRC,2856
45.77948,-0.42873,0.23,VRC,1932
45.78322,-0.43025,0.34,VRC,2856
45.78544,-0.43035,0.51,VRC,4284
45.78192,-0.42985,0.79,VRC,6636
45.79026,-0.43018,0.41,MLG,1312
45.78224,-0.42934,0.39,VRC,3276
45.7842,-0.42942,1.78,VRC,14951
45.78571,-0.42943,0.38,VRC,3192
45.79032,-0.43283,2.11,VRC,17724
45.792,-0.43266,1.44,VRC,12096
45.79422,-0.43279,0.62,VRC,5207
45.79542,-0.43246,1.47,VRC,12347
45.79842,-0.4322,0.66,VRC,5544
45.79922,-0.43228,1.25,VRC,10500
45.79202,-0.43161,0.13,VRC,1091
45.79189,-0.43157,0.13,VRC,1091
45.79407,-0.43204,0.3,VRC,2519
45.79312,-0.43154,0.24,VRC,2016
45.79074,-0.43096,0.47,VRC,3948
45.79174,-0.43097,0.65,VRC,5460
45.79414,-0.43153,0.4,VRC,3360
45.79626,-0.43233,0.61,VRC,5124
45.79662,-0.43148,1.16,VRC,9743
45.80144,-0.43258,2.92,VRC,24528
45.80622,-0.43399,1.06,VRC,8904
45.80747,-0.43368,0.62,BTH,6249
45.80706,-0.43312,1.43,VRC,12011
45.80026,-0.43159,0.2,VRC,1680
45.80118,-0.43189,0.22,VRC,1848
45.80294,-0.43197,0.34,VRC,2856
45.80504,-0.43244,0.35,VRC,2939
45.80843,-0.43301,1.43,VRC,12011
45.80678,-0.43226,0.06,VRC,504
45.79394,-0.43113,0.32,VRC,2687
45.7927,-0.43086,0.88,VRC,7391
45.79396,-0.43072,0.3,VRC,2519
45.79748,-0.43124,0.23,VRC,1932
45.79793,-0.43116,0.19,VRC,1596
45.79717,-0.43121,0.49,VRC,4116
45.79817,-0.43104,0.29,VRC,2435
45.79106,-0.43003,0.53,VRC,4452
45.79376,-0.43013,1.02,VRC,8568
45.79495,-0.43016,1.18,VRC,9911
45.79186,-0.4293,1.65,VRC,13859
45.79331,-0.42987,0.37,VRC,3107
45.79726,-0.43053,0.3,VRC,2519
45.79818,-0.43048,0.16,VRC,1343
45.79879,-0.42982,0.46,VRC,3864
45.80074,-0.43162,1.08,VRC,9072
45.80327,-0.43147,0.81,VRC,6804
45.80228,-0.43147,0.46,VRC,3864
45.79998,-0.43093,0.09,VRC,756
45.80358,-0.4312,0.34,VRC,2856
45.80474,-0.43164,0.68,VRC,5712
45.80448,-0.43113,0.44,VRC,3696
45.80762,-0.43151,0.2,VRC,1680
45.80002,-0.4306,0.21,VRC,1763
45.80294,-0.43068,0.28,VRC,2352
45.80243,-0.43067,0.84,VRC,7055
45.8061,-0.4306,0.32,VRC,2687
45.80736,-0.4314,0.68,VRN,5712
45.80669,-0.43095,0.33,VRC,2772
45.80845,-0.43138,2.33,VRC,19572
45.80758,-0.43045,0.12,VRC,1008
45.7387,-0.42504,0.38,VRC,3192
45.73929,-0.42436,0.65,BTH,6552
45.73634,-0.42419,2.25,VRC,18900
45.73724,-0.42347,1.64,TTH,14235
45.76728,-0.42768,0.8,VRC,6720
