lat,lon,surface,code_culture,value
43.2075,-0.13305,3.26,MIS,34784
43.1995,-0.13203,1.32,MIS,14084
43.20464,-0.13136,7.14,MIS,76183
43.22274,-0.13476,0.84,FLA,16800
43.22154,-0.13436,0.22,MIS,2347
43.22294,-0.13379,2.75,MIS,29342
43.22848,-0.1349,1.38,MIE,14724
43.22544,-0.13429,1.28,MIS,13657
43.23026,-0.13479,4.41,SOJ,76734
43.22496,-0.13303,1.26,MIS,13444
43.21668,-0.13217,1.4,MIS,14937
43.22042,-0.13186,1.12,MIS,11950
43.22346,-0.13238,0.92,MIS,9816
43.22132,-0.1322,0.66,MIS,7042
43.22242,-0.13194,1.94,MIS,20699
43.22882,-0.13408,2.76,MIE,29449
43.22706,-0.13278,3.18,MIE,33930
43.09682,-0.12372,5.94,MLG,19008
43.11024,-0.12139,0.32,MIS,3414
43.11286,-0.1202,0.2,MIS,2134
43.14999,-0.12774,1.08,MIS,11523
43.1505,-0.12652,1.3,MIE,13871
43.15906,-0.12797,1.27,MIE,13550
43.15782,-0.12749,0.85,MIE,9069
43.14948,-0.12621,1.21,MIE,12910
43.14784,-0.12526,0.59,MIS,6295
43.15395,-0.12489,1.14,MLG,3648
43.15448,-0.12535,2.1,MLG,6720
43.15583,-0.12556,0.55,MLG,1760
43.14461,-0.1232,1.07,CZH,14252
43.15265,-0.12432,0.79,MLG,2528
43.15385,-0.12413,0.03,MLG,96
43.1533,-0.12398,0.03,MLG,96
43.14602,-0.12205,1.02,CZH,13586
43.1451,-0.1218,0.17,CZH,2264
43.14726,-0.12187,1.33,MIE,14191
43.09441,-0.1156,0.52,FLA,10400
43.09478,-0.11597,0.1,FLA,2000
43.09398,-0.11503,0.46,FLA,9200
43.09427,-0.11513,0.02,FLA,400
43.09202,-0.11333,0.19,VRG,1569
43.14482,-0.12043,1.83,ORH,12279
43.14594,-0.12089,0.1,MIS,1067
43.14904,-0.12123,0.19,MIS,2027
43.14786,-0.12114,2.47,MIS,26354
43.15168,-0.12119,0.46,MIS,4908
43.14952,-0.11944,1.54,MIS,16431
43.15026,-0.11979,0.64,MIS,6828
43.15018,-0.11888,0.73,MIE,7789
43.15236,-0.12071,4.21,MIE,44920
43.15866,-0.11915,1.81,MIS,19312
43.14531,-0.11841,2.36,MIS,25181
43.15002,-0.11847,0.07,FLA,1400
43.14794,-0.11792,1.26,MIS,13444
43.14666,-0.11746,2.08,MIS,22193
43.14566,-0.11629,1.92,MIS,20486
43.15616,-0.11874,0.32,SOJ,5568
43.15622,-0.11767,0.79,SOJ,13745
43.15697,-0.11799,0.59,SOJ,10265
43.14664,-0.11563,0.75,MIS,8002
43.15772,-0.11729,2.89,SOJ,50286
43.16009,-0.11659,1.51,MIS,16111
43.15592,-0.11638,2.43,SOJ,42282
43.15834,-0.11609,2.21,MIS,23580
43.16404,-0.12858,1.82,MIS,19419
43.16486,-0.12798,0.65,MIS,6935
43.16749,-0.12753,0.92,MIS,9816
43.16719,-0.12709,0.93,MIS,9923
43.17348,-0.12876,3.78,MIS,40332
43.17058,-0.12835,6.35,MIS,67754
43.16416,-0.12677,1.17,MIS,12483
43.16882,-0.12629,3.48,TTH,30206
43.17791,-0.12741,1.44,ORH,9662
43.17944,-0.12795,8.66,MIS,92402
43.18082,-0.12899,0.91,MIE,9709
43.18369,-0.12922,2.95,MIS,31476
43.18548,-0.12932,2.86,MIS,30516
43.18186,-0.12775,3.39,MIS,36171
43.18792,-0.12857,1.4,MIS,14937
43.18926,-0.12988,1.73,MIS,18459
43.1922,-0.13011,2.43,MIS,25928
43.19017,-0.12983,2.43,MIS,25928
43.19134,-0.12995,2.54,SOJ,44196
43.19352,-0.12985,3.3,MIS,35211
43.18386,-0.12765,0.44,MIS,4694
43.19735,-0.1288,2.86,MIS,30516
43.19091,-0.12745,1.21,TTH,10502
43.18862,-0.12721,1.17,MIS,12483
43.1924,-0.1277,2.85,TTH,24738
43.16698,-0.1256,0.57,MIE,6081
43.16492,-0.12467,2.84,MIE,30302
43.16894,-0.12465,0.61,MIS,6508
43.17106,-0.12582,3.66,MIS,39052
43.17838,-0.12585,0.84,ORH,5636
43.17893,-0.12536,0.57,ORH,3824
43.17664,-0.12503,1.2,MIS,12804
43.1776,-0.12496,1.43,MIS,15258
43.16699,-0.12417,1.77,TTH,15363
43.16412,-0.12259,3.5,MIE,37345
43.16921,-0.12332,2.95,ORH,19794
43.17486,-0.12409,5.96,SOJ,103704
43.18136,-0.12633,2.3,MIS,24541
43.17947,-0.12617,0.85,MIS,9069
43.18065,-0.1254,0.15,MIS,1600
43.18862,-0.12622,2.01,MIS,21446
43.19568,-0.12647,5.19,MIS,55377
43.19742,-0.12672,1.61,MIS,17178
