lat,lon,surface,code_culture,value
43.33626,-0.28396,1.34,CZH,17848
43.34632,-0.28941,2.69,BTH,27115
43.35516,-0.28999,1.41,MIS,15044
43.35705,-0.28962,1.92,MIS,20486
43.3451,-0.28855,1.17,BTH,11793
43.34538,-0.28744,2.93,BTH,29534
43.3543,-0.28829,7.14,SOJ,124236
43.35223,-0.28732,4.24,MLG,13568
43.35728,-0.28833,1.51,TTH,13106
43.3679,-0.29,1.31,MIS,13977
43.37218,-0.29046,1.32,MIS,14084
43.37424,-0.29047,2.23,MIS,23794
43.3655,-0.29014,0.75,MIS,8002
43.3647,-0.28874,1.88,MIS,20059
43.37124,-0.28962,1.09,MIS,11630
43.37324,-0.28975,1.74,MIS,18565
43.35616,-0.28684,3.39,MIS,36171
43.35464,-0.28616,0.71,MIE,7575
43.34364,-0.28539,1.81,SOJ,31494
43.34325,-0.28382,1.58,MIS,16858
43.35538,-0.28534,0.47,MIE,5014
43.36378,-0.28743,2.39,MIS,25501
43.36516,-0.28748,1.36,MIS,14511
43.36296,-0.28721,1.21,MIS,12910
43.368,-0.28717,2.87,MIS,30622
43.37078,-0.28832,3.74,MIS,39905
43.3694,-0.28767,1.89,MIS,20166
43.37738,-0.28823,1.22,TTH,10589
43.37152,-0.28711,0.55,BTH,5544
43.3608,-0.28561,5.81,SOJ,101094
43.36634,-0.28626,0.87,MIS,9282
43.3673,-0.28593,1.16,MIS,12377
43.36309,-0.28582,1.02,MIS,10883
43.36678,-0.286,1.07,MIS,11416
43.36568,-0.28552,3.29,MIS,35104
43.37042,-0.28652,0.4,BTH,4032
43.36962,-0.28615,0.28,BTH,2822
43.36931,-0.28531,1.43,MIS,15258
43.3085,-0.27871,0.81,MIS,8642
43.319,-0.28056,1.47,SOJ,25578
43.32038,-0.28042,0.76,MIS,8109
43.31872,-0.27964,0.8,MIS,8536
43.23149,-0.20334,0.8,TRN,7000
43.30408,-0.28141,0.79,MIS,8429
43.30781,-0.28104,1.25,MIS,13337
43.31005,-0.2821,3.61,MIS,38518
43.3107,-0.28147,0.82,MIS,8749
43.30552,-0.28073,2.02,MIS,21553
43.30683,-0.28049,2.88,MIS,30729
43.31116,-0.28085,1.7,BTH,17136
43.31782,-0.28224,0.7,MIS,7468
43.32083,-0.28253,1.36,MIS,14511
43.31745,-0.28188,1.44,MIS,15364
43.31352,-0.28066,1.39,MIS,14831
43.31515,-0.28147,4.74,MIS,50575
43.3171,-0.28116,1.26,MIS,13444
43.32008,-0.28154,1.35,MIS,14404
43.3218,-0.28115,0.98,MIS,10456
43.30892,-0.27964,1.22,MIS,13017
43.30513,-0.27917,0.58,MIS,6188
43.30604,-0.27878,0.78,MIS,8322
43.30712,-0.27883,1.28,MIS,13657
43.31056,-0.27917,2.46,MIE,26248
43.3225,-0.28212,1.0,MIS,10670
43.32646,-0.28221,1.17,MIS,12483
43.32469,-0.28171,0.3,MIS,3201
43.3243,-0.2806,3.96,MIE,42253
43.32624,-0.2801,2.28,MIS,24327
43.32722,-0.27998,1.12,MIE,11950
43.3379,-0.28042,1.3,MIS,13871
43.30513,-0.27831,1.34,MIS,14297
43.30728,-0.27775,0.79,MIS,8429
43.31052,-0.2785,1.27,CZH,16916
