lat,lon,surface,code_culture,value
45.83608,-0.89262,0.47,FLA,9399
45.85788,-0.89601,9.38,TRN,82075
45.85165,-0.89338,0.27,FLA,5400
45.85662,-0.89429,5.07,MIS,54096
45.86479,-0.89373,4.87,CZH,64868
45.83439,-0.89028,2.98,MIS,31796
45.85214,-0.89022,1.62,MIS,17285
45.85759,-0.89094,2.78,BDH,28022
45.85468,-0.89038,4.06,TRN,35524
45.85654,-0.88966,2.54,MIS,27101
45.86123,-0.88971,1.65,MIS,17605
45.86314,-0.88962,0.44,CZH,5860
45.72242,-0.87889,7.35,BDH,74088
45.73204,-0.87985,0.8,BTH,8064
45.73178,-0.87715,3.17,SOG,31446
45.73328,-0.87734,6.61,BTH,66628
45.74885,-0.88121,3.57,BTH,35985
45.75324,-0.88176,0.54,BTH,5443
45.75196,-0.88117,4.54,BTH,45763
45.75337,-0.8808,1.26,TRN,11025
45.74286,-0.87942,7.08,CZH,94305
45.1994,-0.62809,0.37,VRC,3107
45.7494,-0.87925,3.71,BTH,37396
45.75586,-0.87998,8.72,TRN,76300
45.72682,-0.87676,1.17,BTH,11793
45.72248,-0.87584,2.4,MIS,25608
45.72976,-0.87542,14.8,VRC,124320
45.73684,-0.87589,40.9,TRN,357875
45.72186,-0.87481,2.6,MIS,27742
45.72354,-0.87427,2.58,MIS,27528
45.72562,-0.87455,6.34,MIS,67647
45.75137,-0.8781,4.0,BTH,40320
45.75315,-0.87805,0.97,TRN,8487
45.74674,-0.87592,0.72,BTH,7257
45.74703,-0.87632,0.33,VRC,2772
45.74243,-0.87503,7.99,CZH,106426
45.74014,-0.8743,11.84,TRN,103600
45.74521,-0.87505,1.29,VRN,10836
45.7485,-0.87646,7.09,ORP,47573
45.75708,-0.87693,0.62,VRC,5207
45.75238,-0.87575,5.89,BTH,59371
45.76173,-0.88215,0.92,ORP,6173
45.77076,-0.88284,0.4,ORP,2684
45.77453,-0.88366,4.04,BTH,40723
45.76655,-0.88106,12.19,ORP,81794
45.77329,-0.88227,0.95,BTH,9575
45.76402,-0.88058,4.23,CZH,56343
45.77257,-0.88161,0.26,MIS,2774
45.77296,-0.88089,0.11,MIS,1173
45.78495,-0.884,1.28,BTH,12902
45.7892,-0.88446,0.58,TRN,5075
45.78978,-0.88308,0.3,MIS,3201
45.79266,-0.88337,2.43,TRN,21262
45.77697,-0.88172,10.77,BTH,108561
45.78259,-0.88248,3.44,CZH,45820
45.78062,-0.88141,14.0,BTH,141119
45.79364,-0.88336,3.58,BTH,36086
45.7629,-0.87792,0.16,VRG,1321
45.77288,-0.87931,0.04,MIS,426
45.77191,-0.87911,11.53,BTH,116222
45.77521,-0.87919,5.68,BTH,57254
45.76074,-0.87779,4.69,BTH,47275
45.76162,-0.87761,0.22,VRG,1817
45.75926,-0.87686,4.27,BTH,43041
45.76332,-0.87793,5.91,BTH,59572
45.76601,-0.87791,3.28,BTH,33062
45.76644,-0.87732,9.2,TRN,80500
45.77456,-0.8776,10.11,BTH,101908
45.77777,-0.8792,0.09,SOJ,1566
45.78787,-0.8806,15.82,BTH,159465
45.78148,-0.87801,6.46,BTH,65116
45.761,-0.87457,0.27,VRC,2268
45.7771,-0.87757,2.85,ORP,19123
45.77884,-0.87735,5.41,BTH,54532
45.79328,-0.87942,2.51,ORH,16842
45.78575,-0.87657,16.16,BTH,162892
45.79158,-0.87823,2.27,MIS,24220
45.72116,-0.87144,5.44,MIE,58044
45.72496,-0.8706,7.91,MLG,25312
45.72824,-0.87235,1.32,VRC,11088
45.73118,-0.874,1.78,TRN,15575
45.72994,-0.87346,1.7,TRN,14875
45.7294,-0.87314,1.7,VRN,14279
45.73247,-0.87264,7.74,SOG,76780
45.72047,-0.87008,1.19,CZH,15850
45.72906,-0.8707,0.23,VRC,1932
45.73002,-0.8714,5.07,VRC,42588
45.74732,-0.8749,0.67,VRN,5628
45.74694,-0.87448,1.05,VRC,8820
45.75104,-0.87438,4.83,BTH,48686
45.74978,-0.87369,3.23,VRC,27132
45.75489,-0.87438,5.03,CZH,66999
45.7562,-0.8745,4.68,CZH,62337
45.7492,-0.87305,0.49,VRN,4116
45.75324,-0.87345,3.51,ORP,23552
45.74874,-0.87225,1.93,BTH,19454
45.7295,-0.86829,7.71,TRN,67462
45.76712,-0.87496,3.6,BTH,36288
45.73713,-0.86906,29.15,BTH,293832
45.74742,-0.87148,4.23,VRC,35532
45.74629,-0.87152,0.61,VRN,5124
45.7433,-0.86996,6.7,MIS,71489
45.74563,-0.86986,3.63,BTH,36590
45.74826,-0.87158,0.83,VRC,6971
45.7497,-0.8717,3.5,CZH,46620
45.75558,-0.87182,1.86,CZH,24775
45.75138,-0.87109,4.1,ORP,27511
45.7521,-0.87051,3.9,BDH,39312
45.74102,-0.8684,8.14,BDH,82051
45.75338,-0.87007,2.96,VRC,24864
45.75499,-0.87011,6.25,CZH,83250
45.74909,-0.86921,5.51,VRC,46284
45.75828,-0.87508,8.71,CZH,116017
45.7681,-0.87565,5.77,BTH,58161
45.77159,-0.87535,9.97,BTH,100497
45.76079,-0.87398,0.49,BTH,4939
45.76314,-0.87265,14.12,CZH,188078
45.76088,-0.8734,1.17,VRC,9828
45.76542,-0.8735,1.03,BTH,10382
45.76505,-0.8735,1.74,TRN,15224
45.7712,-0.87382,8.19,CZH,109090
45.76706,-0.87347,1.4,TRN,12250
45.77346,-0.87338,8.54,BDH,86083
45.77489,-0.87439,0.25,MIS,2667
45.79218,-0.87774,0.72,MIS,7682
45.77713,-0.8751,3.72,BTH,37497
45.78303,-0.87504,6.65,BTH,67032
45.78745,-0.87162,0.44,TRN,3850
45.8755,-0.88522,6.34,ORP,42541
45.78998,-0.87614,15.19,BTH,153115
45.78712,-0.87494,0.35,BTH,3527
45.78779,-0.87512,2.02,BTH,20361
45.75812,-0.87191,10.61,CZH,141325
45.76208,-0.87152,1.82,BTH,18345
45.76191,-0.87029,0.19,VRC,1596
45.76598,-0.87113,11.19,ORH,75084
45.76174,-0.87,0.29,BTH,2923
45.77459,-0.87203,0.2,BDH,2016
45.7803,-0.87436,16.99,MIS,181283
45.78729,-0.87326,5.19,BTH,52315
45.7942,-0.87473,0.28,ORH,1878
45.78986,-0.87302,1.16,BTH,11692
45.79286,-0.87411,6.8,ORH,45628
45.77654,-0.87235,2.72,BTH,27417
45.78272,-0.8717,2.89,BTH,29131
45.785,-0.87121,10.24,BTH,103219
45.78682,-0.87172,1.34,ORH,8991
45.79612,-0.88427,1.76,ORH,11809
45.80923,-0.88547,0.43,TRN,3762
45.81203,-0.88455,0.71,MIS,7575
45.79571,-0.88282,0.33,ORH,2214
45.80012,-0.88428,12.58,BTH,126806
45.8016,-0.88295,10.81,CZH,143989
45.79458,-0.88183,2.92,TRN,25550
45.80488,-0.88402,17.04,BTH,171763
45.8084,-0.88359,1.97,TRN,17237
45.81023,-0.88359,9.75,ORP,65422
45.80673,-0.88226,7.96,MIS,84933
45.81582,-0.8864,2.72,MIS,29022
45.81856,-0.88661,4.11,MIS,43853
45.8145,-0.88454,5.09,BTH,51307
45.82015,-0.88476,1.64,MIS,17498
45.81336,-0.88311,2.95,TRN,25812
45.81728,-0.88327,3.43,MIS,36598
45.80273,-0.88201,5.73,TRN,50137
45.79695,-0.88036,5.58,ORH,37441
45.8009,-0.88026,1.18,VRC,9911
45.80139,-0.87995,0.61,VRC,5124
45.81026,-0.87943,3.67,BTH,36993
45.8117,-0.8795,4.16,BTH,41932
45.81286,-0.88271,0.85,TRN,7437
45.8126,-0.88223,1.67,TRN,14612
45.81502,-0.8816,5.48,TRN,47950
45.83006,-0.88351,9.46,MIS,100938
45.81827,-0.8817,1.71,ORP,11474
45.81762,-0.88072,0.96,ORP,6441
45.83086,-0.88151,1.65,FLA,33000
45.83124,-0.88716,2.1,MIS,22407
45.83414,-0.88716,0.68,FLA,13600
45.85022,-0.88902,0.99,BDH,9979
45.8523,-0.88846,1.79,CZH,23842
45.85598,-0.8887,2.05,MIS,21873
45.85806,-0.88899,0.96,BDH,9676
45.85014,-0.88754,3.55,BDH,35784
45.8602,-0.88918,1.71,MIS,18245
45.86358,-0.88875,0.26,MIS,2774
45.8541,-0.88723,1.82,CZH,24242
45.85581,-0.88688,0.95,TRN,8312
45.85676,-0.88721,1.73,BTH,17438
45.86648,-0.88803,0.36,CZH,4795
45.85173,-0.87937,0.32,MIS,3414
45.83186,-0.88248,1.8,MIS,19206
45.84578,-0.88346,0.77,BTH,7761
45.85556,-0.88408,8.29,MIS,88454
45.86329,-0.88484,10.9,BTH,109872
45.86458,-0.88561,5.29,MIS,56444
45.86702,-0.88561,2.3,MIS,24541
45.86814,-0.88346,6.56,ORP,44017
45.79465,-0.87825,5.09,ORH,34153
45.79964,-0.87784,1.95,MIS,20806
45.80908,-0.87896,8.09,BDH,81547
45.79786,-0.87571,17.71,TRN,154962
45.8024,-0.87635,6.28,MIS,67007
45.8048,-0.87751,12.54,CZH,167032
45.80795,-0.87592,7.92,MIS,84506
45.8206,-0.88061,9.01,BTH,90820
45.81922,-0.87791,7.94,ORP,53277
45.83092,-0.88061,0.93,MIS,9923
45.82962,-0.88047,0.26,FLA,5200
45.8229,-0.87914,7.35,ORP,49318
45.83005,-0.87935,0.52,FLA,10400
45.81484,-0.87669,1.8,MIS,19206
45.81664,-0.87667,6.0,CZH,79920
45.82484,-0.87855,1.2,MIS,12804
45.8298,-0.87866,0.7,MIS,7468
45.79445,-0.87419,0.63,BDH,6350
45.79938,-0.87476,0.66,BTH,6652
45.80116,-0.87374,11.19,BTH,112795
45.81218,-0.87574,16.3,BTH,164304
45.8052,-0.87414,3.88,BTH,39110
45.79536,-0.87253,6.72,BTH,67737
45.80132,-0.87264,0.35,ORP,2348
45.80354,-0.87154,2.73,BTH,27518
45.80913,-0.87386,1.81,TRN,15837
45.80424,-0.87329,1.24,BTH,12499
45.81525,-0.87481,2.46,CZH,32767
45.81966,-0.8759,3.77,MIS,40225
45.86559,-0.87931,1.6,CZH,21312
45.82315,-0.87589,0.28,MIS,2987
45.81446,-0.87407,1.08,MIS,11523
45.81884,-0.87493,3.18,MIS,33930
45.81824,-0.87364,4.2,MIS,44814
45.82345,-0.8746,1.84,MIS,19632
45.83512,-0.87932,0.83,CZH,11055
45.83634,-0.88042,2.4,CZH,31968
45.84126,-0.88023,1.01,BTH,10180
45.83488,-0.87893,0.28,CZH,3729
45.83629,-0.87878,2.23,CZH,29703
45.83549,-0.87823,0.6,BTH,6048
45.84407,-0.87884,2.3,TRN,20125
45.84148,-0.8779,20.3,BTH,204624
45.8534,-0.88159,2.49,MIS,26568
45.85264,-0.88001,1.66,MIS,17712
45.86571,-0.88055,5.95,BDH,59976
45.86218,-0.87978,5.84,ORP,39186
45.835,-0.87785,0.25,BTH,2520
45.83488,-0.87677,3.01,BTH,30340
45.83748,-0.87739,9.39,TRN,82162
45.8496,-0.8779,12.22,TRN,106925
45.83796,-0.87589,1.35,BTH,13608
45.85162,-0.87884,0.35,BTH,3527
45.85186,-0.87735,0.92,BDH,9273
45.8582,-0.87728,1.59,BTH,16027
45.85047,-0.87565,1.28,MIS,13657
45.86563,-0.87735,5.33,BDH,53726
45.86724,-0.87778,1.35,BTH,13608
45.86806,-0.90377,1.03,BTH,10382
45.86706,-0.903,1.63,BTH,16430
45.86902,-0.903,1.7,BTH,17136
45.87269,-0.90307,1.29,BTH,13003
45.87586,-0.90308,0.29,FLA,5800
45.86748,-0.90188,1.98,MIS,21126
45.87402,-0.90229,1.34,MIS,14297
45.8735,-0.90216,0.29,ORH,1945
45.87554,-0.9025,3.15,FLA,63000
45.87756,-0.90352,0.91,FLA,18200
45.8796,-0.90406,0.83,MIS,8856
45.87974,-0.90355,0.1,MIS,1067
45.87789,-0.90272,1.58,FLA,31600
45.88532,-0.90374,1.17,BTH,11793
45.88439,-0.90284,3.29,CZH,43822
45.87152,-0.90126,5.86,CZH,78055
