lat,lon,surface,code_culture,value
46.11208,-0.32259,5.53,CZH,73659
46.11049,-0.32189,2.35,BTH,23688
46.11654,-0.32278,4.39,BTN,112866
46.1197,-0.32421,9.08,BTN,233446
46.1106,-0.32083,0.16,MIS,1707
46.10923,-0.32074,2.18,ORP,14627
46.11056,-0.3202,0.32,MLG,1024
46.11238,-0.32031,1.35,TRN,11812
46.11751,-0.3211,0.08,FLA,1600
46.12004,-0.32119,2.59,BTH,26107
46.1235,-0.32052,2.95,TRN,25812
46.13174,-0.32472,1.58,BTH,15926
46.13268,-0.32488,1.15,ORH,7716
46.13406,-0.324,2.64,TRN,23100
46.12956,-0.32337,1.84,BTH,18547
46.13878,-0.32461,10.14,BTH,102211
46.14169,-0.32431,1.55,BTH,15623
46.1401,-0.32366,0.38,BTH,3830
46.13242,-0.32299,0.47,BTH,4737
46.12582,-0.32218,5.92,BDH,59673
46.12852,-0.32121,10.31,BTH,103924
46.13579,-0.3229,2.58,BDH,26006
46.1413,-0.32326,2.09,BTH,21067
46.11164,-0.31971,0.36,MIS,3841
46.11574,-0.31999,2.37,SOG,23510
46.10857,-0.31918,2.38,BTH,23990
46.108,-0.31879,1.9,BTH,19152
46.11974,-0.32044,0.58,MIS,6188
46.10805,-0.31757,1.39,TRN,12162
46.1119,-0.31858,4.15,MIE,44280
46.11007,-0.31734,0.29,MIS,3094
46.14804,-0.32372,0.5,TRN,4375
46.11915,-0.31899,4.95,MIS,52816
46.12505,-0.31866,1.7,ORH,11407
46.121,-0.31781,2.37,MIS,25287
46.12926,-0.31977,4.61,BTH,46468
46.13295,-0.32055,19.5,BTH,196560
46.13664,-0.32079,0.68,MIS,7255
46.13883,-0.3217,5.35,TRN,46812
46.13728,-0.32024,3.23,TRN,28262
46.14212,-0.32097,1.65,TRN,14437
46.1427,-0.32048,0.09,TRN,787
46.14946,-0.3233,2.65,TRN,23187
46.13138,-0.31919,4.87,BTH,49089
46.13608,-0.31935,2.64,MIS,28168
46.14068,-0.31936,6.44,TRN,56350
46.14862,-0.32517,1.32,BTH,13305
46.14952,-0.32558,3.39,BDH,34171
46.15213,-0.32497,4.21,TRN,36837
46.15767,-0.32536,4.84,BTH,48787
46.16088,-0.32541,0.96,BTH,9676
46.16161,-0.32565,3.88,MCR,38489
46.15498,-0.32501,4.95,TRN,43312
46.15955,-0.32467,3.62,BTH,36489
46.15414,-0.32002,6.33,BDH,63806
46.15166,-0.3226,5.42,TRN,47425
46.15814,-0.32392,1.93,BTH,19454
46.1564,-0.32375,2.58,CZH,34365
46.15439,-0.32267,1.04,TRN,9100
46.16798,-0.32621,2.14,MIE,22833
46.1637,-0.32545,0.9,TRN,7875
46.16941,-0.32596,3.66,BTH,36892
46.17402,-0.32579,1.47,BTH,14817
46.17471,-0.32573,0.77,BTH,7761
46.17522,-0.32582,1.01,BTH,10180
46.17697,-0.32554,9.54,TRN,83475
46.14788,-0.32045,3.51,BTH,35380
46.16914,-0.32449,1.96,MIS,20913
46.18116,-0.32541,2.17,TRN,18987
46.18041,-0.32417,1.22,TRN,10674
46.14931,-0.3222,2.17,TRN,18987
46.14896,-0.32122,2.91,BDH,29332
46.15884,-0.32245,2.77,MIE,29555
46.1606,-0.3227,0.59,TRN,5162
46.15382,-0.31923,0.28,MCR,2777
46.15908,-0.31987,3.36,MIS,35851
46.1671,-0.32297,2.43,MIS,25928
46.16808,-0.3226,0.71,MIS,7575
46.16528,-0.32237,3.03,MIE,32330
46.16385,-0.32164,0.7,MIE,7468
46.17474,-0.32362,3.34,BTH,33667
46.17259,-0.32261,1.85,TRN,16187
46.1687,-0.32103,1.39,MIS,14831
46.16476,-0.32055,1.34,MIE,14297
46.16584,-0.32012,2.36,MIS,25181
46.17414,-0.3213,2.67,BTH,26913
46.14106,-0.31666,1.97,MIS,21019
46.17502,-0.32189,5.98,BTH,60278
46.11612,-0.31633,1.16,MIS,12377
46.11429,-0.31583,5.36,BDH,54028
46.12476,-0.31729,0.99,TRN,8662
46.11916,-0.31634,9.93,MIE,105953
46.11118,-0.31474,6.73,MIE,71809
46.11482,-0.31314,5.73,BDH,57758
46.12185,-0.31427,0.22,MIS,2347
46.12631,-0.31684,5.66,ORH,37978
46.13785,-0.31805,4.95,MIS,52816
46.1358,-0.31779,0.4,MIS,4268
46.14287,-0.31819,2.15,MIS,22940
46.13528,-0.31691,1.21,MIS,12910
46.13638,-0.31713,0.04,MIS,426
46.13744,-0.31692,2.0,MIS,21340
46.13451,-0.31562,2.05,MIS,21873
46.1112,-0.31356,5.83,BDH,58766
46.10984,-0.31273,7.68,BTH,77414
46.12274,-0.31436,2.48,MIS,26461
46.12427,-0.31401,0.91,MIE,9709
46.11042,-0.31103,1.51,TRN,13212
46.11272,-0.31114,3.75,TRN,32812
46.11376,-0.31146,4.86,MIE,51856
46.14268,-0.31446,1.52,MIS,16218
46.14197,-0.31367,1.42,MIS,15151
